Vessel_Name,MMSI_List
QL04 - TOBY SPELLER,[232059824]
WILLFREEDOM,[232040793]
ODIN,[255805955]
CANARA,[620999906]
TARGET,[306129000]
COSCOSHIPPING VISION,[477696900]
RUPERT BEST,[232033439]
BIG FOOT,[226001310]
FALCON H119,[233860000]
TBC PRESTIGE,[372812000]
SCPS ALEXIA,[235116538]
G/V HAULBOWLINE,[232021354]
RIX PLATO,[636018620]
DIONISIOS SOLOMOS,[239627000]
SCHOUWENBANK,[245594000]
MILLENNIUM TIME,[235052106]
ALISON MANTRIPP,[232059362]
LONGEARTH,[244637000]
ADELINE,[256284000]
FRIDA AMALIE,[220151000]
ENDO OSTRO,[256469000]
ERDA,[246631000]
EMMY SCHULTE,[235068963]
ROLLS I,[374496000]
ESVAGT ALBA,[219026495]
MORGENSTOND II,[244457000]
ISLAND OCEAN,[257026000]
MCS KAVER,[235098572]
NORDIC,[636022737]
LUNAR BOW,[232025939]
DISPENSER,[232032994]
CLANSMAN,[232003288]
GALE,[244515000]
RAINBOW SPIRIT,[311001591]
PRINSES ARIANE,[244260497]
FIRST BROTHER,[229381000]
TAYRONA,[232033857]
ARKLOW VALLEY,[244710425]
SKJONGHOLM,[259329000]
RAPTOR,[232060957]
VELOS AQUARIUS,[538008652]
WILSON GOOLE,[314549000]
MAPLIN,[235114598]
F/V L'ALLIANCE,[228366700]
WYKE CASTLE,[232059853]
HORTON,[235055709]
NP 460,[205196000]
SOUND OF SOAY,[235101063]
CONTAINERSHIPS VIII,[211845000]
NICOLA L,[304631000]
IDUNN,[244639000]
ARMADA 78 01,[563170800]
MARCELLUS LADY,[565592000]
AURA,[230601000]
EMEK-S,[249475000]
HAPPY PELICAN,[235094449]
NORMAN,[304491000]
VB PULLMAN,[232015239]
F/V GROS LOULOU,[228302000]
GRAMPIAN EAGLE,[232058582]
CLIPPER ERIS        ,[257083750]
DEFIANT,[234122000]
CELTIC NAVIGATOR,[232020889]
TYPHOON 3000,[232046017]
EUROPEAN CAUSEWAY,[311027000]
SVITZER MOIRA,[235053752]
SPIRIT OF THE TYNE,[235040261]
EKMEN TRANS,[636025357]
LUNAMAR,[255805988]
SD ADEPT,[232002648]
VOS PATHFINDER,[235060799]
P&O PIONEER,[210385000]
WIND LASS,[235089425]
INVOTIS  VIII,[244650632]
MARILIE,[230649000]
ARMADA 78 02,[563175800]
ISAFOLD,[219030593]
TESSALA,[605076060]
@E@@L@AD@GP@P@AM@D4,[3997759]
F/V GURE ANDRE,[228110000]
WIGHT SCENE,[235031588]
HOMERIC,[241649000]
PACIFIC,[241771000]
ZAANSTAD 3,[244750841]
BOY JOHN INS 110,[235108172]
ROSE OF SHARON 11,[250001339]
H&S BRAVERY,[246231000]
LARA 1,[353602000]
WINDCAT 11,[235066459]
BRITISH WARSHIP,"[234607000, 234580000, 234637000]"
CELESTIAL DAWN BF109,[232041821]
HEIKO,[235067397]
SVITZER ALMA,[232002712]
BERTHOLD K.,[246613000]
COBALTWATER,[246545000]
ISTANBUL EXPRESS,[636024775]
WILSON GRIP,[314550000]
SKANDI HERA,[257411000]
FEDERAL KUSHIRO,[538004060]
ROSEMARY ANN,[235102461]
THAMES PRINCESS,[235054658]
QUINAG,[257255000]
AIDAPERLA,[247385300]
SHORELINE ENGINEER,[235040015]
STOLT EBONY,[255806423]
F/V GURE AMETZA II,[228413900]
DEEPSEA NORDKAPP,[310776000]
ICENI DEFIANT,[235090838]
GRAMPIAN FREEDOM,[235114345]
MSC LEANDRA V,[255803590]
HANNIBAL,[563207900]
GPS IONIA,[235117078]
F./V L'ARC EN CIEL 1,[226230000]
JOHANNA,[231431000]
WINNIPEG,[636019497]
AMBIENCE,[311001109]
ADNAN TORLAK,[636019529]
SD FORCEFUL,[232002650]
LADY EMMA WD342,[250006241]
STRATHFOYLE,[232005254]
VICTORIA OF WIGHT,[232015630]
ENDURANCE KY77,[235003829]
WILSON POLICE,[257765000]
WILLIE B WD211,[250104640]
PUERTO LIMON EXPRESS,[636024483]
OHIO,[311013400]
SAIC ANJI SINCERITY,[636023520]
OTB-08              ,[232032488]
SHOALWAY,[212115000]
SANFIONA,[235072057]
WILLIAM HENRY II DH5,[235001800]
JOAN,[205771000]
GERMAN WARSHIP F219,[211210150]
MS RENOIR,[227789150]
NEPTUNE AEGLI,[215170000]
RIGEL,[245730000]
ENTERPRISE III BF1,[232045204]
WEALTH CERES,[636023215]
LADY HELENE,[244675000]
ISLAND CHAMPION,[259117000]
WILSON HOBRO,[314456000]
RONJAFISK,[257508000]
DEN HELDER,[244936000]
DOUCE FRANCE,[228395600]
EDDA FERD           ,[259161000]
BOY BRENDAN,[235039463]
G/V GOURY,[228467700]
BELGIA SEAWAYS,[277561000]
F/V YANNICK,[227533000]
ZARLANDA,[235061554]
AMADEUS,[376205000]
BIG G,[232040055]
CEMEX GO INNOVATION,[232027481]
MANGUSTA,[636022466]
GAS WIDURI,[525008071]
WIND DISCOVERY,[219034268]
SANDY M,[235090733]
ALMERE 4,[232005500]
MAIMITI,[227723110]
MCS SIROCCO,[235090843]
G/V RESOLUTE,[232009973]
TRUE VINE KY7,[235003101]
WADOWICE II,[311024300]
RIPTIDE H10,[235103427]
MAID OF THE ISLES,[250368000]
ALKEA,[636021853]
ELOISE ESLEA,[232043585]
CEMSOL,[212360000]
MSC LAURA,[354092000]
BARFLEUR,[227289000]
GAASTBORG,[246845000]
SAFE CALEDONIA,[565083000]
RECOVERY,[235078634]
RIX UNION,[209992000]
FRI PORSGRUNN,[209211000]
CRIMSON EMPRESS,[564879000]
JPO PISCES,[636090863]
CP NANJING,[538006958]
NJORD VENTURE       ,[232032953]
EVER ACT,[352978199]
LADY SARAH,[232003121]
AUTO ACHIEVE,[255739000]
KING SEAWAYS,[220449000]
TRICA,[244912000]
AGIA ELENI,[538007701]
NAVIGATOR GUSTO,[636015944]
GRAMPIAN TWEED,[232055827]
RNLI LIFEBOAT 13-20,[235109063]
ELISABETH-S,[245438000]
MONACO MAERSK,[219863000]
SEA ENDURANCE,[255916049]
ORWELLNAVGTNSERVICE,[12388]
AZAMARA JOURNEY,[256204000]
BIRGIT G,[305502000]
GOLDEN FAST,[538009293]
GSL TEGEA,[636020770]
MERCURIA,[235054999]
NR LYNX,[235100734]
CHATTANOOGA,[563004400]
AI AVOCET,[235118074]
OCEAN SCOUT,[235001005]
MONTROSE ALPHA,[232589000]
MSC ROMA,[636018075]
ORIZONTAS,[205212890]
ELBTOWER,[255915664]
OSPREY,[232042584]
RONJA NORDIC,[258255000]
"FV_ASPIRE     __ ,",[233826000]
ACONIT,[226001370]
M/V HAMBURG,[309908000]
MARIT MAERSK,[219632000]
NOBLE REACHER,[538010661]
WILSON FLEX II,[255909640]
MARIE,[244130531]
SVITZER LONDON,[235103697]
SIMON STEVIN,[253309000]
CMA CGM KOUROU,[228403800]
PUTFORD SAVIOUR,[232035072]
THRESHER,[246295000]
MARE PICENUM,[247293200]
LADY HABARKA,[245302000]
AFOVOS,[636024262]
STENA EDDA,[209885000]
SEA MELODY,[314557000]
WESTWINDS,[235067293]
GV STAR OF HOPE,[232038483]
SD NAVIGATOR,[235071537]
ESVAGT WIND 9,[219027972]
FALCON TIDE,[258057000]
NATALIE,[304428000]
ELBFEEDER,[212931000]
MARIETJE HESTER,[244482000]
WILLEM JOHANNES,[244110374]
BOTNIA SEAWAYS,[219737000]
CONTAINERSHIPS 6,[211315100]
HENRIKE  SCHEPERS,[305268000]
AMIKO,[277563000]
BALMERINO,[232047495]
THEA II,[212597000]
SCHOKLAND,[246655000]
STAR OF THE SEAS,[311001551]
HOGABERG,[231896000]
IANA,[255915901]
FV_FAVONIUS_PD17,[235076242]
GREEN SPINEL,[256354000]
SEAHORSE,[232004949]
BBC ST.PETERSBURG,[304883000]
DAY BLUE            ,[314664000]
TIGERS III,[228099800]
YARA SELA,[258936000]
MISSISSIPPIBORG,[244976000]
AILSA,[232005797]
WALRUS II,[246109000]
BARNACLE,[250013655]
NEXT,[630001114]
BRIGHT RAY LH163,[235004076]
SVITZER BOOTLE,[235013782]
SPECTRUM 5,[235094718]
STINNES PASSAT,[304330000]
SVITZER JUBILEE,[232045977]
ADLER,[273414440]
MAERSK NANSHA,[477111700]
MORNING LISA,[370967000]
ENEA,[235079451]
MSC MARIAGRAZIA,[636023679]
CONTAINERSHIPS POLAR,[232046826]
SIEM CICERO,[636017539]
CRYSTAL VALERIAN,[563101700]
F/V ARGELES,[228048600]
REBELLE 1,[232055631]
SVITZER WATERSTON,[235063728]
SVITZER HAVEN,[235067991]
ARKLOW MARSH,[250002012]
JOSEPHINE,[244850590]
EMMA,[209072000]
STENA IMPERIAL,[229748000]
A2B SPIRIT,[244150813]
YAKOV GAKKEL,[311000634]
CRC_VULCAN,[235083437]
TZAR,[244060730]
VAN JAGUAR,[636022138]
YXLAN,[265811390]
SILVER PEARL,[231766000]
EEMS DOVER,[245547000]
SAGAR SAMRAT,[566014000]
KLEONIKI,[538011286]
SUPER FAST LEVANTE,[224901000]
BEN WOOLLACOTT,[232017796]
LEXI,[232035447]
SD RESOURCEFUL,[235072824]
CHEM SILICON,[636019204]
RNLI LIFEBOAT 13-41,[232025976]
ICENI VENTURE,[235108057]
ERIEBORG,[246634000]
BENARKLE II PD400,[235107957]
TIMORSUN,[636093173]
SEAVIEW,[235063458]
WINDCAT 1,[235018872]
RELIANCE III BF800,[232028822]
ELBCARRIER,[212935000]
BOYNE,[256247000]
DIESEL DOG,[232059204]
WIND,[220520000]
MSC RONIT R,[636017000]
BALTIC JASMINE,[209882000]
NQ MILLA,[229545000]
SAINT JOSSE WD2,[250379000]
BERGE RISHIRI,[232003534]
DAMIETTA EXPRESS,[218038370]
PROPONTIS,[240565000]
EPIC BONAIRE,[566017000]
MOSTEIN,[314727000]
MV C.ENDEAVOUR,[352005284]
ZAMPA,[235115321]
CITY DELTA,[235054920]
ZHONG YUAN,[354595000]
GARY CHOUEST,[366757230]
COSCO JAPAN,[477655200]
LAGERTHA,[636023129]
UK112 WILHELMINA,[246557000]
CURLEW,[232061945]
LOIS 2,[235091216]
WILSON POLA,[257488000]
MINERVA IRIS,[240243000]
SVITZER WARDEN,[235032469]
GRAMPIAN CONFIDENCE,[235077918]
ATLANTIC,[232057908]
KELLY,[215114000]
CORDELIA-K INS-151,[235095634]
EDEN ROSE,[235092732]
LOWESTOFT PROVIDER,[232003615]
SAR AIRCRAFT G-HMGF,[111232028]
GOLDEN SUNRISE,[235056223]
BLUE 3,[272896100]
GOLDEN BRILLIANT,[477250100]
WILSON GDYNIA,[314192000]
HALLAIG,[235099235]
NOCC ATLANTIC,[259976000]
VB CHEETAH,[232057491]
ATHENA SEAWAYS,[277504000]
VLIEBORG,[246625000]
KALISTA,[538072320]
STELLA MARIS,[250184000]
GRANDE AMBURGO,[247098900]
SIR BOBBY ROBSON,[235090034]
SEA SHEPHERD,[235018213]
ZETAGAS,[305794000]
WILSON DROGHEDA,[314633000]
THAMES LIMO,[235104656]
ARKLOW RAMBLER,[250013999]
SUNDA               ,[636017261]
CHAY BLYTH,[235055007]
ANNA,"[244850620, 305961000]"
TWISTER,[245881000]
MARCUS,[205106000]
INA-LOTTE,[636023981]
MTM ROTTERDAM,[563233600]
EEMS-DART,[236453000]
MULTRATUG 11,[244230000]
HORIZON ARCTIC,[316003140]
SHACKLETON,[250002011]
CURRENT SPIRIT,[311001594]
GV HELENUS FR121,[233353000]
SVITZER THAMES,[232033454]
SILVER BARRACUDA,[235054674]
G.V SANCTA MARIA,[235093015]
AMPERE,[275031000]
TOM SAWYER,[210399000]
GRY MARITHA,[232003389]
XINHAITONG18,[538003560]
KEY SUND,[259360000]
OOCL PIRAEUS        ,[477886300]
SERENE,[232013304]
UKD SEADRAGON,[232059172]
ARCADIA,"[310459000, 461000247]"
FSV SCOTIA,[258031400]
STELLA MARIS CY250,[235068209]
CELTIC MARINER      ,[255916023]
HUMBER RUNNER,[305821000]
HORIZON GEODRILL,[352002726]
ARKLOW VIKING,[244150648]
INVERDALE,[235068431]
ALEXANDRA KOSAN,[563160500]
SD HERCULES,[235066588]
ROSEBLOOM INS353,[235115756]
LADY AMALIA,[246685000]
SLOMAN HERA,[305850000]
ANTONIS I.ANGELICOUS,[241809000]
GATTACA,[352005806]
RAHAL,[319882000]
SOLEA,[211417590]
ARKLOW CASTLE,[250004289]
SD ORONSAY,[235000148]
VIKING SKY,[259186000]
SD NETLEY,[235101365]
MERCIA,[235055003]
MONA SWAN,[219624000]
OTB-01,[232026015]
WIGHT RYDER 1,[235069875]
SCANBIO VIKING,[257872000]
VALBORG,[230108270]
WILSON HERON,[314551000]
BG JADE,[212752000]
PRIDE OF ROTTERDAM,[244980000]
GRAZIA,[232032581]
CASPIAN HARMONY,[477588700]
EXCELSIOR,[226014170]
FPV CATRIN,[232012923]
FIDRA,[235040684]
FOKKO UKENA,[304089000]
FRI LAKE,[309807000]
GOLDEN FURIOUS,[538009294]
EA NODDY,[563182800]
PASCUAL FLORES,[224534350]
GOLD OAK,[352428000]
Z575 JANNEKE,[205247000]
TOKYO PIONEER,[370087000]
MISTRAL,"[226016370, 230925000]"
TRIGON TRADER,[372092000]
DPC TOLKA,[250005497]
OCEANUS AURORA,[636021172]
PATHWAY,[232004150]
EVIDENCE,[226017440]
ANTARES,"[232003486, 255806365]"
MAYA THERESA,[219032954]
CAMERON,[232004102]
SVITZER VALIANT,[235059532]
SAR AIRCRAFT G-HMGG,[111232029]
TS JOHN JERWOOD     ,[235003790]
RAHMI YAGCI,[271048419]
UKD CHERRY SAND,[232003994]
SEAEXPLORER,[249149000]
LYRIC MAGNOLIA,[311000360]
LH PILOT STE ANNE,[227609750]
LADY MARIA FISHER,[232046269]
ATLANTIC TWIN,[236112059]
FUJI LAVA,[215712000]
STENA TRANSIT,[244513000]
MARLIN LA PLATA,[538009852]
THAMES GUARDIAN,[235089286]
GRYPHON A,[235010630]
CHARLEMAGNE,[205796000]
KARILIIS,[304176000]
MARGARET OF LADRAM,[235088807]
FEZZAN,[215989000]
BUNDU,[352001341]
ABILITY,[636020794]
MANXMAN,[232041396]
CENTURION SIGNIFER,[352002288]
MARETA,[636022898]
MANIPURA,[244780077]
BANGKOK EXPRESS,[211108330]
STENA NORDICA,[210518000]
TRANS CHEMICA,[256549000]
AMADEUS PEARL,[255915668]
CEMISLE,[305399000]
NIAGARA HIGHWAY,[351983000]
VISTA,[538009952]
WELSH ROCK,[227913470]
CITY GAMMA,[235054917]
RNLI LIFEBOAT 17-09,[232002480]
F/V AMADEUS,[250014109]
ZANTE DAWN,[249100000]
THEMIS,[563220000]
SVITZER ELLERBY,[232003503]
THREE RIVERS,[235091048]
BULK FINLAND        ,[636021905]
KEW,[235085696]
AN HAI WAN,[356502000]
GRANDE NEW JERSEY,[247409200]
ECO MONEGASQUE,[255801680]
NATO WARSHIP,[234627000]
JENNY M,[250000954]
RNLI LIFEBOAT 16-23,[235069215]
GLENDOWER,[227913480]
MAERSK TOKYO        ,[566833000]
STEN SKAGEN,[255915977]
CHEMICAL SAILOR,[249022000]
SPRINGER TIDE,[257064980]
ECO INVICTUS,[538005799]
TIGER ONE,[235060961]
FLEX ENTERPRISE,[538010101]
HANS,[232056936]
VENUS CLIPPER,[232019499]
WANDERLUST,[538071462]
MISTRADENN,[227922880]
GAFIRS,[976543210]
SHELF DRILLING BARS,[636016111]
SUPPORTER,[219014436]
F/V L'AUDACIEUX,[227601110]
ARGUS,[235093173]
PROTECTOR III,[232033854]
BLUE FIN,[215877000]
BOKA DA VINCI,[538003647]
WINDCAT 39,[235114376]
ATLANTIC ORCHARD,[636018592]
NORBAY,[310362000]
MV ELYSSE,[232019288]
FIGARO,[275530000]
SILVER STURGEON,[235054955]
VOS VENTURER,[235083457]
GV ADVENTURE,[235109237]
PL ST CUTHBERT,[235099364]
ZEF NORDET,[235095774]
NEREUS INS172,[235096106]
WP CHANCER,[232059367]
VOS DISCOVERY,[235050631]
DHB DILIGENT,[232056171]
FORTH CONSTRUCTOR,[232053877]
SAND FALCON,[232215000]
WIND PIONEER,[219017684]
PEARL OF LONDON,[232006403]
RELIABLE WARRIOR,[241501000]
ESVAGT CHAMPION,[219010518]
NORDIC OLYMPIC,[538009299]
RNLI LIFEBOAT 13-36,[232009305]
WAALVLIET,[244781000]
SVITZER STANFORD,[235023045]
VIKING PRINCESS II,[235026894]
PONENTE,[538008151]
OCEAN RELIANCE,[357707000]
IEVOLI GOLD,[247274700]
NEPTUNE HELLAS,[256575000]
ARMARA JULES VERNE,[275549000]
ISLE OF INISHMORE,[209093000]
TWINKLE STAR,[538005294]
NICOLAAS MAES,[244830663]
STI COMANDANTE,[538005397]
KESTREL,"[235000280, 636015480]"
ALBA,[255915672]
SEVEN SEAS VOYAGER,[311513000]
SANDNES,[304783000]
MALACCA HIGHWAY,[355351000]
MARIELYST,[255806148]
STENA DON,[232020225]
ALI CAT OF COWES,[232006214]
MINERVA ELLIE,[636023294]
TALINA B,[210534000]
ANVIL POINT         ,[235572000]
ANASTASIA,[235019572]
PV VENUS,[235032573]
SD PADSTOW,[235000073]
RV CALLISTA,[235028893]
CORETALENT OL,[370922000]
CONCERTO,[563028800]
CYPRUS CEMENT,[255805390]
CHALLENGE FR226,[235013021]
UNITY,[232043744]
VELOS LEO,[538008670]
GEORGIOS ALEXIOS,[538090652]
COLNE LEADER,[232045643]
ECO CROSSFIRE       ,[636021059]
CEMTEX RENAISSANCE,[477103900]
AMS PANTHER,[235085036]
WIND TRANSFER,[235083476]
SALOONSLOEP,[244236663]
PANDA               ,[245852000]
LADY VIVIANA,[352004190]
SOLENT CAT,[235031587]
MORAY ENDEAVOUR,[232030061]
THEO,[268245101]
ANHOLT,[255854000]
ELENI K,[538090645]
ISLA S DS1,[235089665]
P.V.ESTUARY LEADER,[235004471]
CAPE SUN,[210455000]
YM CONTINUITY,[563234400]
GRAMPIAN EXPLORER,[235640000]
NSL-CHALLENGER,[235113677]
F/V YANN MARY,[227317330]
REBEL ANCHORMAN,[235016877]
KELTIC PRIDE UL61,[235099169]
W KAMPALA,[538009125]
IRIS,[244820333]
BB OCTOPUS,[258184000]
UMM GHUWAILINA,[636023558]
EUROCARGO BARI,[247320400]
DELPHINE,[248189000]
CHAMBON SUROIT,[228283600]
MSC MIRELLA R       ,[636016999]
SONILAND,[236306000]
TIGRIS,[538003615]
SUAPE EXPRESS,[636093100]
CIELO ACE,[352004807]
SPUIGRACHT,[245261000]
IVERO,[232013165]
GREEN PASTURES,[235000531]
LOWLANDS CENTURY,[352003967]
ELANDRA FALCON,[538007154]
VB STRATHDEE,[235055895]
SILVER WIND,[308814000]
BEAUMAGIC,[244615000]
SUEZ PROTOPIA,[636021925]
G.O.SARS,[257105000]
LADY LOUISE,[352003797]
STAR HARMONY,[353071000]
PALATINE,[248064000]
ECO ROYALTY,[538006249]
STENA VISION,[210231000]
SEARHYTHM,[538009054]
VIVIT AMERICAS LNG,[215574000]
LADY AYSE,[373042000]
STAR MAJESTY,[257365000]
RUSSIAN STAR,[244150198]
YANBU,[636023504]
SHEIGRA SY7,[235004088]
LADY MENNA,[245266000]
HAVELLAND,[255805653]
BIRGITTE L349,[219024698]
OPTIMUS,[275525000]
SD OBAN,[232004686]
BOY ENZO LH511,[232012511]
OCEAN SUPPORTER,[250005038]
DRAKEN HARALD H.,[258111550]
SCHILLPLATE,[236111603]
GSL ELIZABETH,[636021006]
TAO BRAVE,[357839000]
FV/SILVER DAWN,[235005150]
KALLI G.,[305846000]
WINDCAT 101,[235086213]
ELBTEAM,[255806267]
FS CYGNUS,[235107992]
.  FV ARCTURUS,[235002070]
HMM DUBLIN,[440348000]
THUN LUNDY,[244069000]
VERTOM MERIDIAAN,[246180000]
WEC VAN RUYSDAEL,[255806327]
COMBI DOCK I,[255916073]
REGGEBORG,[244810617]
TP VENTURE,[259153000]
ATLANTICA CARRIER,[209644000]
FTV XPLORER,[235052734]
SUN SHINE,[440040000]
HELEN RICE,[232026655]
EEMS DRAIT,[244096000]
CMA CGM PUGET,[255806114]
STEN ARNOLD         ,[255915983]
PRINSENGRACHT,[244044000]
SD OMAGH,[235000301]
EUROPEI,[636021345]
GOLDEN GAIN,[234124000]
PUNTA VIXIA,[227275010]
NYK DIANA,[372319000]
RNLI LIFEBOAT E 10,[232025941]
GEERTRUIDA,[235096094]
HAGRID,[314576000]
CONTSHIPS BOREALIS,[210028000]
KAPITAN GLOWACKI,[261378000]
MFV ADMIRAL RAMSAY,[232061598]
RNMB HEBE,[232026014]
KOMMANDOR CLAIRE,[235000500]
SFF GV ARTEMIS,[233975000]
RAVEL,[210299000]
KOOL TIGER,[636023578]
MSC VERONA,[636024514]
TULIPA SEAWAYS,[277548000]
WINDCAT 3,[235036365]
AMADEUS DIAMOND,"[245014000, 211443640]"
TRENT,[232047172]
DEEP DISCOVERER,[311000849]
HADRIAN,[235000465]
MEGAN M,[235059319]
RNLI LIFEBOAT 13-12,[235106581]
VERSUTIUS,[253834000]
FORTH TIGER,[235001096]
SVITZER RAMSEY,[235068109]
COSCO HOPE,[477598800]
VB TRUEMAN,[232045118]
ADAMOON,[636015272]
GV PHOENIX,[235001320]
ARKLOW ACCORD,[250005849]
CMA CGM SAVANNAH,[229282000]
SPARBORG,[246218000]
ATLANTNIRO,[273244100]
NORTHERN GALE,[232005600]
PANTHERA J,[636017210]
HASTA LA VISTA,[226016440]
F/V MADISON,[227315150]
OCEAN SHOALBUSTER,[235021947]
SD CHRISTINA,[235074703]
NALEY TIDE,[259866000]
POSEIDON TRADER,[548768000]
SS JOIE DE VIVRE,[244030456]
CRC VENTURA,[232059567]
PGC EIRINI,[248586000]
NJORD VIKING,[257060000]
SCOT MARINER,[235002520]
MARINA L,[636016827]
SATURNUS,[250000764]
A2B FUTURE,[244870287]
PLEVNE,[215994000]
MANANNAN,[235070199]
ALFA FINLANDIA,[311000820]
RNLI LIFEBOAT 16-01,[235014281]
ICENI COURAGE,[235085499]
NISA NAREE,[563240300]
VERBIER,[352002262]
SPANACO RELIABILITY ,[304045000]
MSC CRISTINA,[636016858]
HMM PRIDE           ,[441486900]
CC CHAMPS ELYSEES,[228386800]
WILSON BRUGGE,[314702000]
AIDASOL,[247302900]
TILL,[244468000]
LOUISE JANE II,[232044459]
SANTOS EXPRESS,[218854000]
VOS VOYAGER,[235073828]
ENCOUNTER,[245078000]
CT BARNSTON,[232043206]
MTENDERE,[244075566]
TITANIA,[248225000]
ARKLOW CLIFF,[250004612]
SS SHIELDHALL,[232003964]
CELSIUS GIZA,[538010516]
LIAMARE,[245455000]
VB THAMESBANK,[232059444]
ROLLDOCK SUN,[244615929]
INTER SCOTIA,[257294000]
ARCO DART,[232003278]
FRUITFUL VINE BF240,[232039351]
DMS POPPY,[232044854]
MHO ASGARD,[219028352]
RNLI LIFEBOAT 1713,[232003051]
VB GUARDSMAN,[232032165]
WILSON FLEX IV,[255806463]
GLOVIS CHALLENGE,[441190000]
GULDEN LEEUW,[246709000]
CAPE HARMONY,[373009000]
C-FORCE,[232033970]
FV EMILIA JAYNE BM10,[235005457]
APL FULLERTON,[563234000]
CRIMSON SPOONBILL,[374514000]
M004,[232048036]
KRISTIN SCHEPERS,[255806436]
ERASMUS,[235055109]
VOS FANTASTIC,[235097323]
BLUE,[610000036]
PILOT V/L MAYFLOWER,[232040178]
ADVANTAGE ATOM,[538006198]
GLAFKOS,[636017196]
NRH CORMORANT,[235104128]
SOIREE,[235093129]
GT CETUS,[305943000]
GAS MYTH,[636015105]
FEDERAL OSAKA,[636019819]
CEG GALAXY,[275493000]
SHANNON KIMBERLY,[235104839]
GRIZZLY,[538004966]
VELOS FORZA,[538009380]
OSTBORG,[245180000]
ROCHESTER,[256421000]
WILSON PALMA,[257237000]
MILLENNIUM DAWN,[235052117]
KOENIGSBORG,[246071000]
HOURAI MARU,[538008262]
WILSON DAVANGER,[314618000]
DRIFTWOOD 3,[235022614]
SILVER BONITO,[235054667]
SVITZER BIDSTON,[235014278]
RICH,[244009864]
KAREWOOD GLORY,[311000613]
VICTOR,[235010731]
CHARLOTTE ESSBERGER ,[255806329]
TROMS MIRA,[235108602]
BSG BONAIRE,[636093027]
POSIDANA,[257516000]
ISLAND VANGUARD,[259121000]
KEY FJORD,[257136000]
DUN AENGUS,[250325000]
RNLI LIFEBOAT E-09,[235080607]
BIT FORCE,[244813000]
PENFRET,[235113112]
LOCHNEVIS,[235000141]
ST CLARE,[235002514]
CHAMBON NORDET,[228491600]
FEDERAL FRASER,[538009245]
JAMES,[250005047]
MARAN HELIOS,[241487000]
MAX,[636020515]
RNLI LIFEBOAT 14-31,[232004404]
PAUL B LOYD JNR,[310845000]
AUTO ADVANCE,[255738000]
GT PIKE,[305814000]
GOLDEN ERLING       ,[538010925]
ARKLOW WILLOW,[250005692]
JENISKA,[235085294]
AQUA STADT,[235108993]
Z26 AVANTI,[205133000]
LINUS P,[538006808]
ASTURIAS,[255915770]
SVITZER MADELEINE,[232002622]
BG EMERALD,[209248000]
F/V EMERAUDE,[228080600]
KARILIN,[305779000]
TARTAN A,[235000756]
BBC PHILIPPINES,[305081000]
JANNEKE,[244780631]
F/V G SAINTE RITA,[227143700]
ECO TRUST,[255915599]
STAR BONAIRE,[246359000]
RNLI LIFEBOAT 13-27,[232009169]
GLORIA,[269057189]
YSALINE,[248744000]
ZAPADNYY,[620999607]
JOLANNA M BF29,[232012119]
SKY CLIPPER,[235053187]
SVITZER FERRIBY,[235025323]
CMACGM VASCO DE GAMA,[215173000]
CISEMAIR,[250103600]
ISLAND CHALLENGER,[258448000]
LE AOIBHINN,[250014267]
FLOATING BRIDGE # 6,[232008913]
WESTERN ISLES,[311000563]
ROCKET REBEL,[232055511]
AVANTI,[538071602]
SCINTILLA MARIS     ,[538071876]
VENTUROUS,[235110013]
ARMONIA.GR,[538009119]
SVITZER GANGES,[232007488]
AS NINA,[538090641]
ATLANTIS ARACELI,[248080000]
ENERGY PARADISE,[257381000]
LECH KACZYNSKI,[228421600]
F/V LA MAIN DE DIEU,[227314040]
F\V PASCAL,[227141900]
KATTEGAT,[219222000]
SCOT TRADER,[232047453]
VEENDIJK,[244694000]
VISCOUNT,[235097195]
THV PATRICIA,[232647000]
DONAU,[244642000]
VISSERSBANK,[244437000]
ORCA III,[235092223]
STENA BRITANNICA,[235080274]
VOE VANGUARD,[232008636]
F/V LE PRECURSEUR,[227141600]
SCA OBBOLA,[265411000]
MSC BETTINA,[352361000]
HST EUAN            ,[232025959]
GRACIOUS PD103,[232059311]
RED EAGLE,[232002589]
OURAL,[226005720]
WISBY WAVE,[246108000]
CREATE,[244016193]
MSC KATYA R.,[636016435]
ORIENTAL COSMOS,[373026000]
THUN LIFFEY,[244333000]
COMMANDER,[232058262]
ARIADNE,[241760000]
SEABOURN SOJOURN,[311027100]
WILSON HANSA,[257755000]
BRITANNIA BEAVER,[232000840]
SEA FURY,[232037743]
CGAS MASTER,[215389000]
NORDFJORD,[246512000]
SCHELDE HIGHWAY,[355444000]
RNLI LIFEBOAT 16-17,[235050723]
THUN GRATITUDE,[245689000]
HAEVA,[244015000]
SAVA,[314661000]
GV REUL NA MARA,[234671000]
ELIZABETHAN,[235055108]
F/V LARCHE,[227382000]
HAMNAVOE,[235449000]
RNLITRAINING IAN&ANN,[235038991]
LADY HEATHER,[232004148]
KAMALIJ,[244397268]
BOKA  POLARIS,[232585000]
ISLE OF INNISFREE,[210321000]
LONDON ROSE,[235054307]
FRIENDSHIP-2 HOLLAND,[235087045]
DEUTSCHLAND,[311000410]
RICHMOND,[235022608]
CGAS LEOPARD,[249225000]
ISARTAL,[255806446]
ESTUARY ELAN,[235090769]
HAWK,[232050639]
HST LONDON,[232048134]
LIKYA THERESA,[219031135]
