Vessel_Name,MMSI_List,Destination_List
BROAD GLORY,[354897000],['PORT SAID']
RUM JUNGLE,[235014165],['CHERBOURG']
VB 26 DEAUVILLE,[227006770],['']
SUNMI,[309937000],['NLDOR']
WINDCAT 7,[235055752],[':HARTLPOOL']
KAIE,[305036000],['RULED']
GV SILVERWAVE BF372,[235004940],['BALMORAL']
ATLANTA EXPRESS,[636018702],['MAPTM']
DE MANKE MONNIK,[244013475],['AMSTERDAM']
ACHIEVE,[232016187],['FISHING']
CONDOR TRADER,[548944000],['NLRTM']
SCELVERINGHE,[244476000],['DREDGE AREA']
KOKSIJDE,[205743000],['GB BFB > DE BRB']
F/V MERCATOR,[228363800],['BOULOGNE']
JSP HALMOE,[255812000],['SENRK']
NINQUEN,[211145300],['KIEL']
PAGE,[636024805],['MAPTM']
INVICTUS,[232059502],['']
GRANDE SCANDINAVIA,[247018700],['ITSAL>DKEBJ']
TINA-M,[256959000],['BEANR']
PXX,[228248740],['']
COMMODORE CLIPPER,[308094000],['PORTSMOUTH']
SARPEDON,[235056272],['']
ETAP,[2320209],['NA']
SOLVIK SUPPLIER,[311070200],['ABERDEEN']
SPECIALITY,[235098053],['GBTIL']
SUNRISE,[304201000],['SKAGEN FOR ORDERS']
GENESIS,[235008110],['SCRABSTER']
VOS ENTERPRISE,[235078284],['SEAGLE FIELD']
STROOMBANK,[244617000],['SEHEL']
SEASPRAT,[218057000],['GBLON']
ACTA CENTAURUS      ,[244341000],['GBBLY               ']
MIRAMAR,[212584000],['GBBOS']
CALCIT 8,[244830198],['MOERDIJK']
PORT DE CALAIS,[2278000],['']
REYMAR,[212880000],['GBGSY']
YASA GOLDENBOSPHORUS,[538002662],['DK FRC']
CMA CGM MARSEILLE,[229749000],['ANPHI']
F/V JEAN PAUL 2,[227314170],['']
OCEAN AQUILA,[232026422],['KIRKWALL']
MORNING CECILIE     ,[440367000],['GB SOU              ']
OOCL FELIXSTOWE,[477890700],['GB FXT=>BE ZEE']
MONSOON CLIPPER,[235057011],['']
BERNHARD SCHEPERS,[305741000],['FRBES']
ESSENCE,[244238000],['PTLEI']
OOCL DENMARK,[477949400],['BEANR>CNSHA']
CENTURIUS,[538006206],['US SRP']
VELOS FORTUNA,[538008717],['FOR ORERS']
ALAMO               ,[354701000],['SN DKR              ']
MSC MIA SUMMER II,[636018326],['FRMTX']
TORM AMALIE         ,[219466000],['GBMLF               ']
FEO SWAN,[256453000],['BE ANR']
ENNA,[253781000],['MRNDB']
SITULA,[356151000],['GBABD']
MARINER B,[232011493],['MOORED MARINER FIELD']
HUMBER SURVEYOR,[232020829],['HUMBER']
WIRON5.H1100,[235103397],['IJMUIDEN']
HAVILAH,"[235108007, 235106049]","['FISHING', 'MALLAIG']"
OCEAN VOYAGER,[232040997],['PADSTOW SEALIFE']
MMS CRUSADER,[235111766],['GRBY>HORNSEA>GY']
LIVA GRETA,[636020786],['GB LOCH ETIVE']
YM TRANQUILITY,[636021578],['BEANR']
REM MIRA,[212896000],['GP3']
FIONIA SEA,[255816000],['IMM UK']
MAMRY,[311058600],['FR URO']
ADMIRAL P,[235094496],['RAMSGATE<>LAL WF']
NOORDERZON,[339824000],['ORK IE']
IDA,[636016690],['PL SZZ']
NORTH SEA,[636017501],['GBFAW']
GPS VINCIA,[232009347],['THAMES TOWAGE OPS']
ECO LUCIDITY,[538006120],['NL AMS']
SIEM CONFUCIUS,[636017540],['USBAL']
H.M.DENHAM,[235062807],['PLYMOUTH']
EXCELLO,[266273000],['IE DUB']
ARCO AVON,[232001240],['DAGENHAM']
NJORD SKUA,[235103429],['GBLIV']
VECTIS PRIDE,[235094625],['CA TRR']
KARINA THERESA,[220648000],['NL RTM']
LADY ZEHRA,[371716000],['ORDER']
FLOWING STREAM,[232019731],['PLYMOUTH']
SMIT WAALHAVEN 8,[244730476],['ROTTERDAM']
HIGHLAND PRESTIGE,[235050073],['ABERDEEN BAY']
ARGYLE,[235052541],['GBRAY GBWMB']
IRISH SEA PIONEER,[355862000],['HAMILTON_PLT']
EMERALD GRATIA,[250000511],['BELFAST']
MELATI 6,[477133600],['VERNA']
VISION V BF191,[232045144],['FISHING']
WINDCAT 37,[235108878],['GRIMSBY']
SNAEFELL RIVER,[232058650],['RAMSEY']
SPIRIT OF FRANCE,[209490000],['DOVER>CALAIS>DOVER']
BEAUMONT,[235050609],['FRLSO']
SHANNON FISHER,[308539000],['GB IMM']
NORTHERLY EXPLORER,[235098358],['KIRKWALL']
MCS SWATH 1,[235117181],['HYWIND OWF']
BALTIC,[219032007],['GB GRG']
BOLTEN KEFALONIA,[538003423],['IT RAN']
CEG UNIVERSE,[275486000],['DUNDALK']
STRAITVIEW,[256765000],['FRMTX']
CHEMICAL VOYAGER,[248037000],['NEW ORLEANS']
WESTEWIND,[245029000],['BELFAST']
F/V TCHOT PIERRE 2,[227314310],['']
KRITI CORAL,[241676000],['DEKEL']
SKIPPER TIDE,[259231000],['ABERDEEN']
ONYX ARROW,[311918000],['DE EME']
OBERVARGH,[232023027],['FALMOUTH']
FPMC 29,[636015250],['BE ANR']
MAJESTIC PRINCESS,[232002990],['IS REY']
KAJA,[305465000],['GBNHO']
AFRICAN KALMIA,[636015892],['ES LPA']
STENA SCOTIA,[232018002],['BEL<>HEY']
SPIRIT OF PORTSMOUTH,[235024149],['FERRY SEVICE']
MAGNUM,[226002380],['GENNEVILLIERS  QUAI']
LADY CARINA,[244621000],['IEWAT']
AURA M,[636093371],['GAPOG']
SVITZER TRIDENT,[232028316],['LIVERPOOL TUG OPS']
THUN VETTERN,[265053000],['LTKLJ']
COASTBUSTER II,[235001431],['PORT ASKAIG']
EXPRESS SPAIN,[248846000],['GRPIR']
BALTIC MOON,[255915581],['ESLCG               ']
MED NORDIC,[256714000],['FRPAB > NLAMS']
TRIDENS,[244033000],['LEITH']
IWS SKYWALKER,[210498000],['GB HTP']
MFV BLACK ROSE,[235088014],['PLYMOUTH']
DOUWENT,[305002300],['GBBOS']
STENA FORWARDER,[219559000],['GBBEL-GBBRK']
ASSISTER,[219699000],['KIEL CANAL']
ASTERIA LEADER,[431024000],['BEZEE']
AGIA VALENTINA,[538007948],['SKAGEN']
F/V MERE DU CHRIST 2,[228446600],['']
STENA FORERUNNER,[244030593],['NLRTM<>GBIMM']
HAPPY RANGER,[245539000],['GRPIR']
PLACER,[235091255],['GBWOR']
EQUATOR,[538003141],['EG AKI']
WELL-SAFE PROTECTOR,[351635000],['YORK PLATFORM']
CRC GLADIATOR,[235112943],['MOSTYN']
KEY BORA,[236385000],['NL MOE']
RNLI LIFEBOAT E-08,[235080606],['']
SEVERN SEA,[235077754],['DIVE OPS']
SPECTRUM 2,[235097363],['RAMS><LAOWF']
PALMBORG,[245281000],['SEKAN']
VOS VIGILANT,[235085344],['ELGIN & FRANKLIN GF']
TANNER,[232038663],['']
WHITE ROSE PH279,[234209000],['']
FALNES TIDE,[259868000],['CULZEAN']
AL ZUBARA,[211886500],['GBLGP > MAPTM']
GREEN ISLE,[235108183],['LIVERPOOL']
JAKARA N336,[235021533],['FISHING GROUNDS']
FUGRO QUEST,[311001151],['BERWICK BANK']
HOY HEAD,[235018919],['SCAPA FLOW']
PUTFORD TERMINATOR,[234979000],['HAEVA']
DUBLIN SWIFT,[209192000],['IEDUB<->GBHLY']
GV ELLORAH BF12,[235073457],['GUARD VESSEL']
CMA CGM FORTDEFRANCE,[249045000],['GPPTP']
F/V FRANDRINE,[227316610],['CHEZ POUCH']
H&S PATIENCE,[245072000],['GBIMM']
THALASSA,[246329000],['ABERDEEN']
HERMANN SCHULTE,[477462400],['BEANR               ']
KROONBORG,[244830399],['48/14PL BARQUE']
CORINTHIAN,[249556000],['DOUGLAS']
TRAFALGAR SENTINEL,[232041826],['FISHERY PATROL']
ACE KRISTIANSAND,[209670000],['PETERHEAD']
P&O LIBERTE,[210384000],['GBDVR > FRCQF > GBDV']
NR PUMA,[235100744],['NEWHAVEN <> RAMPION']
GERNIKA NM,[225410000],['ESBIO']
VIOLETA THERESA,[249126000],['ESBCN']
CL GANJIANG,[477928400],['FR DKK>NO MQN']
SMB-01,[232046307],['']
ONTARIO EXPRESS,[310761000],['GBLIV']
PHENIX,[235053701],['GBFAW']
RLO MERCHANT,[245323000],['SFH']
ANDESBORG,[246797000],['USPHL']
AMELIA,[538011767],['EETLL']
OTTOMAN TENACITY,[271042654],['GBFAW']
NJORD SNIPE.,[235103431],['RAMSGATE']
SPARTO,[215510000],['GB SHV']
H&S FAIRNESS,[246822000],['NL RTM']
MCS SWATH 2,[232021202],['HOW01 WIND FARM']
SARASWATI,[352005254],['SKAW  FOR ORDER']
GPS BATTLER,[212160000],['DKROD']
DAR MLODZIEZY,[261148000],['GBABD']
H&S WISDOM,[245339000],['GBMIS']
COSCO SHANGHAI,[235067987],['NL RTM']
VB NOBLEMAN,[232012996],['TEESPORT']
X-PRESS ELBE,[212018000],['NLLRTM']
SUN CLIPPER,[235003348],['LONDON']
APOLLO INS179,[235001820],['FISHING']
DELTA-D,[244720000],['DA478']
SANTA MARIA,[564118000],['MZMPM']
VOS ENDEAVOUR,[235076082],['FORTIES']
GC BERYL,[477735200],['GB TEE>FRGLO']
GV.SHALIMAR 2,[235003850],['F']
RONJA SPIRIT,[259195000],['MYKLEBUST YARD NORWA']
DIONYSIOS Z,[241660000],['NOBRV']
KARINA C,[255806311],['ES CEU']
BALTIC SWIFT,[229879000],['GB FAW > NL RTM']
PALEISGRACHT,[244122000],['ESBIO']
FRI SEA,[311028300],['GBCOR']
FILYOZ,[215090000],['GBTHP']
EMERALD PRINCESS,[310531000],['NOHAU']
RNLI LIFEBOAT 13-13,[235106583],['SAR OPS']
JULIEN M,[226009040],['SOTTEVILLE LES ROUEN']
YASMINE,[249594000],['BEZEE<>GBPFT']
CITY ALPHA,[235054916],['LONDON']
AMADEUS SAFFIER,[245918000],['SOLVERSBORG']
RNLI LIFEBOAT 13-37,[232009306],['INVERGORDON']
CELTIC VOYAGER,[255915898],['BE ANT']
SVITZER AMAZONAS,[232017592],['LIVERPOOL']
ARDAS I,[636021089],['DUNKIRK']
MAERSK GUAYAQUIL,[477737800],['GBLGP>DEHAM']
FV ALCEDO,[232025056],['FISHING GROUNDS']
CORAL FURCATA,[636022088],['NL MOE']
GRANDE ELLADE,[247019600],['FRLEH']
STELLA THERESA,[538004239],['ESBIO']
RNLI LIFEBOAT 17-16,[232003134],['STOMNESS']
MSC CORNELIA,[636017514],['BEANR']
PATMOS,[256657000],['ESTCI>BEANR']
GEO FOCUS,[246836000],['SURVEY OPS CPA 1NM']
RNLI TRAINING ROB E,[235040257],['POOLE']
CONDOR VOYAGER,[311001050],['GBPOO']
GRAMPIAN DERWENT,[232046383],['DOGGERBANK OWF']
SCAN FJORD,[314318000],['HUSOY']
ATLANTICA SUPPLIER,[210538000],['CLAIR']
TRANSPORTER,[230684000],['FREDRIKSTAD']
SCOT ISLES,[232035207],['IEGWY']
NORWEGIAN DAWN,[311307000],"['INVERGORDON,GB']"
CS PRIDE,[566090000],['GBDVR']
ABANA,[314740000],['ILHFA']
MORITZ SCHULTE,[235307000],['LYRLA']
ALTERA THULE,[311001011],['NLRTM']
CAMILLA ESLEA,[232032303],['LOCH SEAFORTH']
ERNE,[249706000],['PLYMOUTH']
ST FAITH,[235031618],['GB PME<>GB FBU']
EGS VENTUS,[538007957],"['SURVEY CPA 0,5']"
ALEX VON HUMBOLDT 2,[218768000],['GB-SCT ABERDEEN']
SHARON VALE N34,[233098000],['FISHING GROUNDS']
MARVEL DOVE,[636023837],['USCMU-LTKLJ']
MELODIE DE LA MER 3,[228417700],['']
COTE D'ALBATRE,[228233600],['NEWHAVEN<->DIEPPE']
VOLTAIRE,[253813000],['ABLE SEATON']
STAR OF JURA,[235040345],['']
VOS FAIRNESS,[235097314],['ETAP']
NAN XIN 27,[538007927],['RU LED']
WILSON GDANSK       ,[259181000],['IMMINGHAM           ']
MSC SAN FRANCISCO,[636025011],['BEANR               ']
HARVEST,[257437000],['CH 16']
PRODUCTION,[235090273],['GBPPE']
SHAPINSAY,[235019175],['ROUSAY ALL ROUTES']
SV WAKILI,[636023794],['FOR ORDERS']
F/V FELIR,[228267900],['ROSCOFF']
NAUSICAA,[250000283],['']
CMA CGM BARRACUDA,[229842000],['FRLEH']
CHAMPION POMER,[538008843],['LTKIJ']
DOVER SEAWAYS,[235010500],['DOVER<=>DUNKERQUE']
REUL NA MARA,[232052093],['PETERHEAD BAY SURVEY']
AASTUN,[255768000],['GBPTB']
BOOKING,[244870232],['']
ATLANTIC STAR,"[215797000, 258563000]","['GB LIV>CA HAL', 'TROMSO']"
AVONTUUR IV,[235054304],['']
BERNSTEIN,[209341000],['NLRTM']
CONWY PLATFORM,[235089132],['']
MOWI HUNTER,[235101749],['FISH FARM']
SANTONA,[228433900],['ES SDR']
KON.WILLEM ALEXANDER,[244780635],['']
AILA,[230985000],['GBBRS']
KS CAMELLIA,[352003111],['BE ANR']
PRIDE,[236166000],['BEANR  :']
ELIM BOUNCE,[636021331],['GIBRALTAR']
AUTO WAY,[257824000],['NL VLI']
PHANTOM,[305980000],['IMMINGHAM']
CHEMICAL MARINER,[256251000],['GBTEE']
RIVERSCAPE,[235054923],['LONDON']
CELTIC ENDEAVOUR,[305924000],['ESSVQ']
SVITZER BARGATE,[235108268],['SOUTHAMPTON']
WILSON DUISBURG,[314037000],['FRBAY']
MILLENNIUM CITY,[235052123],['']
REM INSPECTOR,[257978000],['SLEIPNER']
HUMBER SOUNDER,[235117222],['']
RNLI LIFEBOAT 13-46,[232027356],['SAR OPS WELLS']
SEACAT MAYFLOWER,[232056758],['GREAT YARMOUTH']
SC EMERALD,[244030634],['RODBY TUNNEL HARBOUR']
GOLDEN SPIRIT,[235054918],['']
M/V ULLA,[219026522],['FOKOL']
EXCEL BF110,[232047720],['']
CITY OF CHICHESTER,[232003081],['SHOREHAM']
AURORA COEY,[257625000],['JUDY']
MARIA MAGDALENA 3,[250136400],['ROSSAVEEL']
TEES NAVIGATOR,[235031854],['RIVER TEES SURVEY']
CLARABELLE,[255915967],['NL RTM']
MANOR BRUNEL,[232004634],['LOWESTOFT']
PINTA,[236180000],['TO ORDER']
ARGYLL FLYER,[235087611],['GOUROCK']
FOB SWATH 9,[219027989],['SOFIA WF']
ARKLOW ROVER,[250014194],['FOR ORDERS']
SULA OF BRAYE,[235000464],['ALDERNEY']
AFON ALAW,[235090202],['HARWICH']
GEO OCEAN V,[253754000],['STAY CLEAR 1NM CPA']
F/V TALARIANTE,[228203800],['FISHING AREA']
ARMORIQUE,[228263700],['FRROS']
SWORD LION,[271050524],['GB TEE']
KIEL EXPRESS,[636093170],['USCHS']
STINNES ZEPHIR,[304332000],['GBIMM']
BRUARFOSS,[231836000],['ISREY']
WESTMINSTER,[235052134],['LONDON']
HST BRIXHAM,[232040184],['GRIMSBY UK']
ARTEMIS,[232043529],['FRASERBURGH']
ARMADOR II,[232012297],['THAMES']
GEO OCEAN VIII,[253000079],['GRIMSBY']
WILSON DUNDEE,[314635000],['ES LSG']
SEACAT LIBERTY,[232009504],['GREAT YARMOUTH']
DOLPHIN,[244070415],['POOLE']
ESSENZA,[244770798],['AMSTERDAM']
AURORA GALAXY,[258159000],['ABERDEEN BAY']
MH SHOGUN,[538011432],['NLTNZ']
BOW AQUARIUS        ,[257384000],['ESSO 4              ']
WINDCAT 10,[235064453],['NEWHAVEN.RAMPIONOWF']
RIX VENTURE,[212673000],['DEHAM']
VESPERTINE,[249671000],['GBLIV']
TUCANA,[245050000],['NLSLU']
FALSTRIA SWAN,[304955000],['IPSWICH']
KETHI,[215540000],['ES BRM']
CEFAS ENDEAVOUR,[235005270],['SURVEY AREA']
CORAL ISLAND,[249397000],['BRVDC']
VULCAN,[235077424],['WHITSTABLE']
CMA CGM ZHENG HE,[215199000],['ESLPA']
HAFNIA SUNDA,[566579000],['BEANR']
SPECTRUM 1,[235075021],['GB RMG>GB GTY']
BORE SONG,[244130690],['IEDUB<>GBLIV']
PLAN B,[232032327],['IPSWICH.']
DETECTER,[220626000],['BARROW<->WALNEY OWF']
PAVO J,[305055000],['IEDUB']
Z115 ANTJE DE VRIES,[205752000],['FISHINGGROUND><>']
WEC MONDRIAAN,[255805775],['PTLEI']
HAV NES,[231099000],['GDANSK']
CMA CGM ABU DHABI,[248729000],['BEZEE']
AIMEE,[244710267],['']
MORAG M,[235074938],['BURNTIS ISLAND']
M BRISTOL,[477085800],['ROTTERDAM']
HEBRIDES,[235000864],['GB UIG LMD TBT']
BALTIC SUN,[255916186],['MACAS']
AURORA POWER,[235101811],['ARMADA']
WIGHT LIGHT,[235064784],['LYM\\YAR']
JOHN PAUL K,[245181000],['PLSZZ']
LYNCEUS,[232003238],['']
PONT AVEN,[228183600],['ESSDR']
FRANK HENRY,[232034229],['CRAB FISHING']
ALPPILA,[230613000],['GB GTY>NO JEL']
DINTELBORG,[245279000],['NOPOR']
PROTECTER,[235091158],['GWYN T MOR WF+RTN']
DSV CURTIS MARSHALL,[235107219],['MILFORD']
MAERSKMCKINNEYMOLLER,[219018271],['SGSIN>CNYSA']
STOC MARCIA,[212123000],['BEANT >PTSIE']
WILLSUPPLY,[235083598],['SOUTHAMPTON']
SEAWAYS RED         ,[538004029],['GY GEO              ']
WATERFALL,[235071392],['BURGHEAD']
NJORD R,[219387000],['DREDGING OPERATION']
ORION CLIPPER,[235113611],['LONDON']
DUNCAN,[227062830],['MOSELLE']
PILOT BOAT HAMPSHIRE,[235014661],['']
HNLMS URANIA,[245804000],['GB ABD']
VERA RAMBOW,[218627000],['GBGRK']
ISLE OF INISHEER,[210780000],['FRCER']
SEATROUT,[211881000],['SOUTHWOLD']
KAPTAN VEYSEL VARDAL,[256752000],['ITCVV']
MILLENIUM OF PEACE,[235052119],['']
ALERT,[235010690],['COPPERAS LB']
SEAHARMONY,[229902000],['SE GOT              ']
MINOAN GLORY,[636019301],['RU MMK']
EEMS SERVANT,[246236000],['ESSDR']
SPARTINA,[232009969],['']
BLADE GALAXY,[538007810],['BEANR']
WAYGAT,[244740304],['']
MFV O51 STORMVOGEL,[205277000],['OOSTENDE']
GRAY SALVOR,[235024027],['FAWLY']
ORMESBY CROSS,[235000032],['AVONMOUTH']
SD FLORENCE,[232002641],['PLYMOUTH AREA']
KITCAT,[235074502],['MILFORD HAVEN']
BOW CAPRICORN,[257067210],['BEANR']
MOONFLEET,[232055094],['PORTLAND']
LADY KATHLEEN,[250006159],['SITE']
ANTHEMIS,[228383700],['ROSCOFF']
ERATO,[636015002],['MXVER']
NOBLE INNOVATOR,[538010663],['MWEST']
HEENVLIET,[258049000],['FRRAD']
ICENI VICTORY,[235100575],['GWYNTY MOR WF']
AURORA CLIPPER,[235056987],['LONDON']
COBALT NOVA,[636020370],['NLRTM']
ENERGY ARTEMIS,[232032105],['GBIMM']
HUMBER MERCURY,[235083948],['PILOTAGE DUTIES']
LNG JUNO,[311000583],['USG FOR ORDERS']
DUNKERQUE SEAWAYS,[235028825],['GBDVR<>FRDKK']
SONGA SAPPHIRE,[248940000],['GB PEM']
FOREVER FAITHFUL PD,[232053998],['']
IZMIR,[229219000],['TR DRC']
SUN BIRD,[305781000],['KAMSAR']
THOMAS DOGGETT,[232005583],['']
EASTERN NYMPHAEA,[636019136],['GB TEES']
MATZ MAERSK,[219019365],['GBLGP > DEBRV']
OUR JULIA SH310,[235074807],['STATIC GEAR KEEP CLR']
RNLI LIFEBOAT 13-29,[232009187],['EYEMOUTH SAR OPS']
PHILLIP BAY,[538005705],['BR SSZ']
AMBITION,[311001141],['IE RIN']
AMIS CHAMPION,[357887000],['MONROVIA']
ANTHEA Y,[636016986],['PTSIE']
KARO,[235054768],['']
F/V DIEU A BIENFAIT,[227124600],['']
LISELOTTE ESSBERGER,[255890000],['NL RTM']
LEONTIOS H,[241454000],['FR DON>GB SFW       ']
FEROX,"[244750431, 244890709]","['BENELUXHAVEN', '']"
NYK VIRGO,[563025600],['SGSIN-NLRTM']
ALFA ALANDIA,[311000534],['FOR ORDER']
HST LLANELLI,[232035358],['LOWESTOFT<>GAB.OWF']
NAVE PHOTON,[352004479],['CA CBC']
WELL-SAFE DEFENDER,[538010504],['INVERGORDON NO7']
F/V SERENA,[227857000],['']
LOA,[220001000],['ABERDEEN']
NELLI,[304636000],['NL IJM']
HONEYBOURNE III,[233450000],['HARTLEPOOL']
CHILIDOG,[232007900],['LONDON_PORT']
ARNARFELL,[231355000],['FORVK']
GERTRUDE OLDENDORFF,[255805809],['INMUN']
WILSON CORK,[314180000],['EEMSHAVEN']
DEEPSEA ATLANTIC,[310766000],['LOFN LANGEMANN']
ARMADA KRAKEN,[566489000],['KRAKEN FIELD UKCS']
JOHNNY KRAAIJKAMP,[244820983],['']
WATCHDOG,[235070805],['LONDON:OPS']
CORRINGHAM,[235026165],['FORTH TOWAGE OPS']
AURORA STORM,[257734000],['ABERDEEN']
LMZ PLUTO,[538004342],['NLRTM']
LADY CATHERINE,[250014182],['']
SVITZER MELTON,[232002593],['SOUTHAMPTON']
LINDEN TRADER,[548694000],['CA SEI']
THUN LONDON,[244056000],['GB PEM']
WILSON NANJING,[259000000],['BEANR>ESMOT']
WILSON DORDRECHT,[314474000],['GB AVO']
TITAN ENDEAVOUR,[235086211],['LIVERPOOL']
VOS TRADER,[232019715],['EAST BRAE']
BARLAEUS,[244780182],['']
STAR PISCES,[636024670],['MUNDRA INDIA']
RIX MISTRAL,[212503000],['NLSVG']
CHRYSTAL SKY,[538004215],['DKSKW']
BORE BAY,[230357000],['NORIV']
KUBRAT,[636024971],['TRZON']
SERAPHIM PD170,[232051042],['BALMORAL FEILD']
NORDTIGRIS,[255806049],['ES GIJ']
KASPAR OLDENDORFF,[255806281],['US ORF']
F/V ARPEGE,[228070800],['']
IMPULSE,[235022603],['']
PAGANINI,[210225000],['FR LEH']
FURUNO UK,[235041088],['ALWY']
F/V SAINTE THERESE,[228105240],['']
FELUCCA,[235019066],['']
ESTEMAR,[253361000],['DKVEJ']
GEAD,[235092069],['']
ATLANTIC SEA,[215800000],['CAHAL > DEHAM']
PACIFIC NAFSIKA,[538006922],['NL RTM']
MARIANNE,[205769000],['PTSIE>BEANR']
STEENBANK,[246125000],['BOULOGNE']
TAITS FR229,[232014066],['ABERDEEN SOUTH']
ILLUSTRIS B119,[234781000],['']
WILSON ONEGA,[314472000],['GBIMM > NLVLI']
VB STATESMAN,[235092996],['WORKING RIVER']
STENA ESTRID,[209878000],['GBHLY<>IEDUB']
VITALITY,[232024448],['GRATK']
TRYM,"[232058314, 257862000]","['REQ 0.20NM CPA', 'DREDGING RPD']"
PAULINE,[249600000],['BEZEE<>GBPFT']
VOS GUARDIAN,[233329000],['MAGNUS']
CONSTELLATION,[620999827],['RUULU>EGSUZ         ']
FORTH ENGINEER,[235102028],['EYEMOUTH']
THUN GEMINI,[245610000],['GB LDY-> IR WHT']
CHIQUITA EXPRESS,[636017218],['NLVLI']
OCCITAN PAUILLAC,[215362000],['BE GNE']
ARVIA,[310856000],['GBSOU>ESLCG']
C-INSTALLER,[219031822],['MIDDLESBROUGH']
CGAS MATE,[255802940],['GBIMM']
REM ENERGY,[257769000],['LONDON ARRAY OWF']
LEGIONY POLSKIE,[636017071],['DEBKE']
AMIS KALON,[357103000],['BEANR']
RNLI LIFEBOAT 13-05,[235101098],['LOWESTOFT']
LIETO,[577399000],['EGPSD']
MOON CLIPPER,[235003346],['LONDON']
STAN HUYGENS,[244750261],['AMSTERDAM']
TARGET,[306129000],['DENHA - SRW FIELD']
ODIN,[255805955],['AMSTERDAM']
QL04 - TOBY SPELLER,[232059824],['BURNHAM']
WILLFREEDOM,[232040793],['SOUTHAMPTON']
SD MARS,[235067374],['CLYDE OPS']
CANARA,[620999906],['EGPSD']
TBC PRESTIGE,[372812000],['FR URO']
SCPS ALEXIA,[235116538],['']
FALCON H119,[233860000],['']
RUPERT BEST,[232033439],['PORTLAND:']
BIG FOOT,[226001310],['']
COSCOSHIPPING VISION,[477696900],['NL FLUSHING']
G/V HAULBOWLINE,[232021354],['KILKEEL']
NAAMA BORCHARD,[305600000],['BEANR']
SEINE HIGHWAY,[308654000],['CUXHAVEN']
DAGGRI,[235014768],['TOFT & ULSTA']
ENSEMBLE,[246255000],['BEANR']
CAPTAIN ROCKET,[235104713],['']
HIGHLAND PRINCE,[235074584],['ABERDEEN']
DUBAI EXPRESS,[636093143],['BEANR-MAPTM         ']
SVITZER BRISTOL,[235011376],['TYNE']
F/V LE MARMOUSET 3,[228096900],['']
MFV EBONNIE,[235032615],['CRAB GROUNDS']
RNLI LIFEBOAT 16-05,[235030387],['LONGHOPE SAR']
LUNAR BOW,[232025939],['']
DISPENSER,[232032994],['RIVER THAMES']
MCS KAVER,[235098572],['SEARCH AND RESCUE']
CLANSMAN,[232003288],['GB AGO']
GALE,[244515000],['PEMBROKE']
NORDIC,[636022737],['NL VLI']
FIRST BROTHER,[229381000],['RUKGD']
PRINSES ARIANE,[244260497],['']
RAINBOW SPIRIT,[311001591],['AASTA HANSTEEN']
SKJONGHOLM,[259329000],['FISHING GROUNDS']
TAYRONA,[232033857],['PANAREA IT']
ARKLOW VALLEY,[244710425],['LA PALLICE']
RAPTOR,[232060957],['']
VELOS AQUARIUS,[538008652],['BRAZIL FOR ORDERS']
WYKE CASTLE,[232059853],['PORTLAND']
HORTON,[235055709],['LONDON']
MAPLIN,[235114598],['SURVEY']
F/V L'ALLIANCE,[228366700],['PORT-EN-BESSIN']
NP 460,[205196000],['NHA']
WILSON GOOLE,[314549000],['GBNPT']
SCHOUWENBANK,[245594000],['PTFDF']
MILLENNIUM TIME,[235052106],['']
DIONISIOS SOLOMOS,[239627000],['SAN-PIR']
RIX PLATO,[636018620],['IEGWY']
ERDA,[246631000],['GARROW']
ADELINE,[256284000],['GBDAG']
FRIDA AMALIE,[220151000],['CH 16 FOR INFO']
LONGEARTH,[244637000],['FRSNR']
ENDO OSTRO,[256469000],['NLDOR']
ALISON MANTRIPP,[232059362],['TESTING']
ROLLS I,[374496000],['FR LRT']
EMMY SCHULTE,[235068963],['SINES']
ISLAND OCEAN,[257026000],['BRUCE']
ESVAGT ALBA,[219026495],['MORAY EAST WINDFARM']
MORGENSTOND II,[244457000],['FRDKK>>UKBEL']
EUROPEAN CAUSEWAY,[311027000],['GBLAR <-> GBCYN   :)']
TYPHOON 3000,[232046017],['WATERFORD']
SD ADEPT,[232002648],['WORKING IN PLY.PORT']
LUNAMAR,[255805988],['ROTTERDAM FOR ORDER']
SPIRIT OF THE TYNE,[235040261],['']
EKMEN TRANS,[636025357],['HAIFA']
SVITZER MOIRA,[235053752],['PORTBURY']
WIND LASS,[235089425],['ROSYTH']
P&O PIONEER,[210385000],['DOV-CAL-DOV']
VOS PATHFINDER,[235060799],['ALWYN/DUNBAR']
MARILIE,[230649000],['GBPTL']
INVOTIS  VIII,[244650632],['ROTTERDAM']
ARMADA 78 01,[563170800],['BLYTH']
MARCELLUS LADY,[565592000],['USFPO']
SOUND OF SOAY,[235101063],['HUNTERS QUAY+MCPOINT']
CONTAINERSHIPS VIII,[211845000],['GBLIV']
NICOLA L,[304631000],['GBNPT']
HAPPY PELICAN,[235094449],['ESSDR- WANDERLAAR']
IDUNN,[244639000],['ISTHH']
EMEK-S,[249475000],['GRAGT']
AURA,[230601000],['NOHAZ']
VB PULLMAN,[232015239],['IMMINGHAM']
NORMAN,[304491000],['WORKINGTON']
CELTIC NAVIGATOR,[232020889],['ABU QIR']
CLIPPER ERIS        ,[257083750],['USMAH               ']
DEFIANT,[234122000],['FISHING']
F/V GROS LOULOU,[228302000],['']
GRAMPIAN EAGLE,[232058582],['THYBORON DK']
BBC LAGOS,[305774000],['IT GOA']
